"Penduduk Menurut Kelompok Umur dan Jenis Kelamin
Population by Group Age and Sex",,,
Kota Semarang / Semarang Municipality,,,
 , , , 
"Kelompok Umur
Group Age",Jenis Kelamin /Sex,,
,Laki-laki,Perempuan,Laki-laki + Perempuan
4/1/00,64209,60292,124501
5/9/01,63431,59833,123264
10/14/01,61039,58594,119633
15-19,70817,76732,147549
20-24,77856,81190,159046
25-29,72897,74590,147487
30-34,67275,69441,136716
35-39,59624,62694,122318
40-44,55330,60584,115914
45-49,49293,54314,103607
50-54,43282,44158,87440
55-59,31997,29857,61854
60-64,16860,18297,35157
65-69,12502,15274,27776
70-74,8932,12084,21016
75-79,5400,7765,13165
80-84,2524,3686,6210
85-89,933,1508,2441
90-94,220,397,617
95+,66,207,273
Jumlah,764487,791497,1555984
 , , , 
"Sumber: Data Sensus Penduduk 2010 - Badan Pusat Statistik Republik Indonesia
Source : 2010 Population Census Data - Central Bureau of Statistics of the Republic of Indonesia",,,
