Distribusi Persentase Produk Domestik Regional Bruto Atas Dasar Harga Berlaku Menurut Lapangan Usaha di Kota Semarang (persen) Tahun 2020-2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Lapangan Usaha,2020.0,2021.0,2022.0,2023.0,2024.0
"A. Pertanian, Kehutanan, dan Perikanan",0.85,0.84,0.81,0.78,0.75
B. Pertambangan dan Penggalian,0.19,0.18,0.16,0.16,0.15
C. Industri Pengolahan,28.62,28.75,28.87,28.78,28.35
D. Pengadaan Listrik dan Gas,0.11,0.1,0.09,0.09,0.09
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",0.08,0.08,0.07,0.07,0.07
F. Konstruksi,26.0,27.03,26.33,26.45,26.87
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,13.52,13.5,13.2,13.09,12.95
H. Transportasi dan Pergudangan,2.35,2.33,4.17,4.61,4.6
I. Penyediaan Akomodasi dan Makan Minum,2.77,2.77,3.07,3.2,3.23
J. Informasi dan Komunikasi,9.58,9.22,8.62,8.55,8.73
K. Jasa Keuangan dan Asuransi,4.32,4.26,4.19,3.97,3.78
L. Real Estate,2.87,2.77,2.68,2.64,2.61
"M, N. Jasa Perusahaan",0.7,0.67,0.68,0.69,0.72
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",3.06,2.84,2.66,2.59,2.65
P. Jasa Pendidikan,2.95,2.76,2.54,2.47,2.55
Q. Jasa Kesehatan dan Kegiatan Sosial,0.97,0.9,0.84,0.83,0.84
"R,S,T,U. Jasa Lainnya",1.06,0.99,1.01,1.02,1.03
PDRB,100.0,100.0,100.0,100.0,100.0
