No,Kabupaten/Kota,PDRB ADHK
1,Kabupaten Cilacap,100327.3
2,Kabupaten Banyumas,39779.32
3,Kabupaten Purbalingga,17387.61
4,Kabupaten Banjarnegara,15246.87
5,Kabupaten Kebumen,19815.06
6,Kabupaten Purworejo,13353.34
7,Kabupaten Wonosobo,13793.04
8,Kabupaten Magelang,23253.15
9,Kabupaten Boyolali,22681.1
10,Kabupaten Klaten,27805.99
11,Kabupaten Sukoharjo,27076.44
12,Kabupaten Wonogiri,20856.21
13,Kabupaten Karanganyar,26599.74
14,Kabupaten Sragen,26853.06
15,Kabupaten Grobogan,19692.63
16,Kabupaten Blora,18318.42
17,Kabupaten Rembang,13612.34
18,Kabupaten Pati,30885.38
19,Kabupaten Kudus,73241.78
20,Kabupaten Jepara,21384.28
21,Kabupaten Demak,18417.01
22,Kabupaten Semarang,35638.96
23,Kabupaten Temanggung,15214.06
24,Kabupaten Kendal,30916.39
25,Kabupaten Batang,15226.79
26,Kabupaten Pekalongan,16356.35
27,Kabupaten Pemalang,18267.2
28,Kabupaten Tegal,24861.5
29,Kabupaten Brebes,32847.86
30,Kota Magelang,6470.54
31,Kota Surakarta,35441.11
32,Kota Salatiga,9666.45
33,Kota Semarang,140199.52
34,Kota Pekalongan,7477.43
35,Kota Tegal,11205.78
Provinsi Jawa Tengah,,990170.0100000001
