No,Kabupaten/Kota,PDRB ADHK,Rank
33,Kota Semarang,140199.52,1
1,Kabupaten Cilacap,100327.3,2
19,Kabupaten Kudus,73241.78,3
2,Kabupaten Banyumas,39779.32,4
22,Kabupaten Semarang,35638.96,5
31,Kota Surakarta,35441.11,6
29,Kabupaten Brebes,32847.86,7
24,Kabupaten Kendal,30916.39,8
18,Kabupaten Pati,30885.38,9
10,Kabupaten Klaten,27805.99,10
11,Kabupaten Sukoharjo,27076.44,11
14,Kabupaten Sragen,26853.06,12
13,Kabupaten Karanganyar,26599.74,13
28,Kabupaten Tegal,24861.5,14
8,Kabupaten Magelang,23253.15,15
9,Kabupaten Boyolali,22681.1,16
20,Kabupaten Jepara,21384.28,17
12,Kabupaten Wonogiri,20856.21,18
5,Kabupaten Kebumen,19815.06,19
15,Kabupaten Grobogan,19692.63,20
21,Kabupaten Demak,18417.01,21
16,Kabupaten Blora,18318.42,22
27,Kabupaten Pemalang,18267.2,23
3,Kabupaten Purbalingga,17387.61,24
26,Kabupaten Pekalongan,16356.35,25
4,Kabupaten Banjarnegara,15246.87,26
25,Kabupaten Batang,15226.79,27
23,Kabupaten Temanggung,15214.06,28
7,Kabupaten Wonosobo,13793.04,29
17,Kabupaten Rembang,13612.34,30
6,Kabupaten Purworejo,13353.34,31
35,Kota Tegal,11205.78,32
32,Kota Salatiga,9666.45,33
34,Kota Pekalongan,7477.43,34
30,Kota Magelang,6470.54,35
