Komoditas inflasi,,,,,,,,,,,,,
,Inflasi menurut Komoditas (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Umum,"-0,25","0,67","0,37",,,,,,,,,,
"I. Makanan, minuman dan tembakau","-1,79","0,08","1,26",,,,,,,,,,
II. Pakaian dan Alas kaki,"-1,34","2,03","0,15",,,,,,,,,,
"III. Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga","0,1","2,04","0,04",,,,,,,,,,
"IV. Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga","-0,03","0,08","0,09",,,,,,,,,,
V. Kesehatan,"-0,63","0,03","0,27",,,,,,,,,,
VI. Transportasi,"-0,13","-0,05","0,24",,,,,,,,,,
"VII. Informasi, Komunikasi, dan Jasa Keuangan","0,01","0,08","0,37",,,,,,,,,,
"VIII. Rekreasi, Olahraga, dan Budaya","0,18","0,44","0,27",,,,,,,,,,
IX. Pendidikan,"0,07","-0,08",0,,,,,,,,,,
X. Penyediaan Makanan dan Minuman/Restoran,"0,22","-0,06","0,08",,,,,,,,,,
XI. Perawatan Pribadi dan Jasa Lainnya,"3,41","0,07","-0,44",,,,,,,,,,
