"Jumlah Sekolah, Guru, dan Murid di Sekolah Negeri dan Swasta Menurut Tahun Ajaran 2022/2023 di Kota Semarang",,,,,,,
Jenjang Pendidikan,Sekolah,Guru,Murid,,,,
TK,668,2.473,32.620,,,Rasio Sekolah -Murid,Rasio Guru -Murid
RA,140,636,10.051,,TK/RA,"52,81","13,72"
SD,507,7.102,128.239,,SD/MI,"246,20","17,96"
MI,94,1.137,19.730,,SMP/MTS,"307,30","15,85"
SMP,192,3.757,62.716,,SMA/SMK/MA,"383,20","14,83"
MTs,43,798,9.499,,,,
SMA,73,1.919,30.552,,,,
SMK,86,2.379,36.343,,,,
MA,33,662,6.680,,,,
,,,,,,,
Sumber : ,,,,,,,
"1. Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi, Sistem Data Pokok Pendidikan, data semester ganjil",,,,,,,
"2. Kementerian Agama, EMIS, data semester ganjil",,,,,,,
