PDRB Atas Dasar Harga Konstan (Milyar Rupiah) dan Pertumbuhan Ekonomi (Persen) Kabupaten/Kota di Jawa Tengah,,,
No,Kabupaten/Kota,PDRB ADHK,Pertumbuhan Ekonomi
1,Kabupaten Cilacap,"91.944,59","2,15"
2,Kabupaten Banyumas,"40.686,81","4,00"
3,Kabupaten Purbalingga,"17.731,44","3,19"
4,Kabupaten Banjarnegara,"15.536,48","3,26"
5,Kabupaten Kebumen,"20.253,06","3,71"
6,Kabupaten Purworejo,"13.573,47","3,31"
7,Kabupaten Wonosobo,"14.064,76","3,68"
8,Kabupaten Magelang,"23.661,71","3,48"
9,Kabupaten Boyolali,"23.447,37","4,63"
10,Kabupaten Klaten,"28.531,11","3,82"
11,Kabupaten Sukoharjo,"27.634,12","3,82"
12,Kabupaten Wonogiri,"21.251,17","3,35"
13,Kabupaten Karanganyar,"27.039,61","3,59"
14,Kabupaten Sragen,"27.355,15","3,75"
15,Kabupaten Grobogan,"20.115,53","3,78"
16,Kabupaten Blora,"18.126,45","3,68"
17,Kabupaten Rembang,"13.925,52","3,85"
18,Kabupaten Pati,"31.559,08","3,38"
19,Kabupaten Kudus,"69.872,18","-1,54"
20,Kabupaten Jepara,"21.944,23","4,63"
21,Kabupaten Demak,"18.856,42","2,62"
22,Kabupaten Semarang,"35.948,86","3,63"
23,Kabupaten Temanggung,"15.387,93","3,34"
24,Kabupaten Kendal,"31.632,28","3,89"
25,Kabupaten Batang,"15.764,27","4,88"
26,Kabupaten Pekalongan,"16.615,07","3,54"
27,Kabupaten Pemalang,"18.933,19","4,28"
28,Kabupaten Tegal,"25.401,91","3,71"
29,Kabupaten Brebes,"33.533,33","2,57"
30,Kota Magelang,"6.513,89","3,20"
31,Kota Surakarta,"36.211,25","4,01"
32,Kota Salatiga,"9.822,00","3,35"
33,Kota Semarang,"144.704,57","5,16"
34,Kota Pekalongan,"7.601,49","3,59"
35,Kota Tegal,"11.290,27","3,12"
Provinsi Jawa Tengah,,"996.470,57","3,36"
