,,,,,,PDRB Atas Dasar Harga Konstan (Milyar Rupiah) dan Pertumbuhan Ekonomi (Persen) Kabupaten/Kota di Jawa Tengah 6 maret 2026,,,,
,,,,,,No,Kabupaten/Kota,PDRB ADHK,Pertumbuhan Ekonomi,Kontribusi PDRB Berlaku
,,,,,,1,Kabupaten Cilacap,"96.677,84","5,15","9,20"
,,,,,,2,Kabupaten Banyumas,"43.069,50","5,86","4,10"
,,,,,,3,Kabupaten Purbalingga,"18.690,73","5,41","1,78"
,,,,,,4,Kabupaten Banjarnegara,"16.359,11","5,29","1,56"
,,,,,,5,Kabupaten Kebumen,"21.425,79","5,79","2,04"
,,,,,,6,Kabupaten Purworejo,"14.300,56","5,36","1,36"
,,,,,,7,Kabupaten Wonosobo,"14.770,50","5,02","1,41"
,,,,,,8,Kabupaten Magelang,"24.953,18","5,46","2,38"
,,,,,,9,Kabupaten Boyolali,"24.931,30","6,33","2,37"
,,,,,,10,Kabupaten Klaten,"30.214,98","5,90","2,88"
,,,,,,11,Kabupaten Sukoharjo,"29.185,35","5,61","2,78"
,,,,,,12,Kabupaten Wonogiri,"22.448,63","5,63","2,14"
,,,,,,13,Kabupaten Karanganyar,"28.624,99","5,86","2,73"
,,,,,,14,Kabupaten Sragen,"28.929,81","5,76","2,75"
,,,,,,15,Kabupaten Grobogan,"21.318,16","5,98","2,03"
,,,,,,16,Kabupaten Blora,"18.609,49","2,66","1,77"
,,,,,,17,Kabupaten Rembang,"14.698,84","5,55","1,40"
,,,,,,18,Kabupaten Pati,"33.312,38","5,56","3,17"
,,,,,,19,Kabupaten Kudus,"71.416,93","2,21","6,80"
,,,,,,20,Kabupaten Jepara,"23.249,85","5,95","2,21"
,,,,,,21,Kabupaten Demak,"19.846,43","5,25","1,89"
,,,,,,22,Kabupaten Semarang,"37.857,92","5,31","3,60"
,,,,,,23,Kabupaten Temanggung,"16.187,37","5,20","1,54"
,,,,,,24,Kabupaten Kendal,"33.428,96","5,68","3,18"
,,,,,,25,Kabupaten Batang,"16.704,99","5,97","1,59"
,,,,,,26,Kabupaten Pekalongan,"17.463,42","5,11","1,66"
,,,,,,27,Kabupaten Pemalang,"19.895,24","5,08","1,89"
,,,,,,28,Kabupaten Tegal,"26.705,27","5,13","2,54"
,,,,,,29,Kabupaten Brebes,"35.378,61","5,50","3,37"
,,,,,,30,Kota Magelang,"6.889,45","5,77","0,66"
,,,,,,31,Kota Surakarta,"38.475,99","6,25","3,66"
,,,,,,32,Kota Salatiga,"10.365,44","5,53","0,99"
,,,,,,33,Kota Semarang,"152.995,41","5,73","14,57"
,,,,,,34,Kota Pekalongan,"8.039,47","5,76","0,77"
,,,,,,35,Kota Tegal,"11.873,20","5,16","1,13"
,,,,,,Provinsi Jawa Tengah,,"1.050.278,09","5,40","100,00"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Sektor PDRB Lapangan Usaha Tahun Dasar 2010,[Seri 2010] Distribusi PDRB Atas Dasar Harga Berlaku Menurut Lapangan Usaha (Persen)_2022 (Sektor Utama Terbesar),,,,,
,,,,"A. Pertanian, Kehutanan, dan Perikanan","0,81",,,,,
,,,,B. Pertambangan dan Penggalian,"0,16",,,,,
,,,,C. Industri Pengolahan,"28,87",,,,,
,,,,D. Pengadaan Listrik dan Gas,"0,09",,,,,
,,,,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","0,07",,,,,
,,,,F. Konstruksi,"26,33",,,,,
,,,,G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,"13,2",,,,,
,,,,H. Transportasi dan Pergudangan,"4,17",,,,,
,,,,I. Penyediaan Akomodasi dan Makan Minum,"3,07",,,,,
,,,,J. Informasi dan Komunikasi,"8,62",,,,,
,,,,K. Jasa Keuangan dan Asuransi,"4,19",,,,,
,,,,L. Real Estate,"2,68",,,,,
,,,,"M, N. Jasa Perusahaan","0,68",,,,,
,,,,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","2,66",,,,,
,,,,P. Jasa Pendidikan,"2,54",,,,,
,,,,Q. Jasa Kesehatan dan Kegiatan Sosial,"0,84",,,,,
,,,,"R,S,T,U. Jasa Lainnya","1,01",,,,,
,,,,PDRB,100,,,,,
