,,,,,,PDRB Atas Dasar Harga Konstan (Milyar Rupiah) dan Pertumbuhan Ekonomi (Persen) Kabupaten/Kota di Jawa Tengah 6 maret 2026,,,,,
,,,,,,No,Kabupaten/Kota,PDRB ADHK,Pertumbuhan Ekonomi,Kontribusi PDRB ,
,,,,,,1,Kabupaten Cilacap,"101.816,53",#DIV/0!,"9,24",
,,,,,,2,Kabupaten Banyumas,"45.386,22",#DIV/0!,"4,12",
,,,,,,3,Kabupaten Purbalingga,"19.525,36",#DIV/0!,"1,77",
,,,,,,4,Kabupaten Banjarnegara,"17.174,39",#DIV/0!,"1,56",
,,,,,,5,Kabupaten Kebumen,"22.630,06",#DIV/0!,"2,05",
,,,,,,6,Kabupaten Purworejo,"15.025,64",#DIV/0!,"1,36",
,,,,,,7,Kabupaten Wonosobo,"15.405,03",#DIV/0!,"1,40",
,,,,,,8,Kabupaten Magelang,"26.207,91",#DIV/0!,"2,38",
,,,,,,9,Kabupaten Boyolali,"26.326,85",#DIV/0!,"2,39",
,,,,,,10,Kabupaten Klaten,"31.930,30",#DIV/0!,"2,90",
,,,,,,11,Kabupaten Sukoharjo,"30.657,93",#DIV/0!,"2,78",
,,,,,,12,Kabupaten Wonogiri,"23.568,41",#DIV/0!,"2,14",
,,,,,,13,Kabupaten Karanganyar,"30.198,24",#DIV/0!,"2,74",
,,,,,,14,Kabupaten Sragen,"30.438,34",#DIV/0!,"2,76",
,,,,,,15,Kabupaten Grobogan,"22.381,00",#DIV/0!,"2,03",
,,,,,,16,Kabupaten Blora,"19.183,67",#DIV/0!,"1,74",
,,,,,,17,Kabupaten Rembang,"15.461,20",#DIV/0!,"1,40",
,,,,,,18,Kabupaten Pati,"34.980,11",#DIV/0!,"3,17",
,,,,,,19,Kabupaten Kudus,"72.979,97",#DIV/0!,"6,62",
,,,,,,20,Kabupaten Jepara,"24.447,15",#DIV/0!,"2,22",
,,,,,,21,Kabupaten Demak,"20.840,01",#DIV/0!,"1,89",
,,,,,,22,Kabupaten Semarang,"39.651,41",#DIV/0!,"3,60",
,,,,,,23,Kabupaten Temanggung,"16.998,53",#DIV/0!,"1,54",
,,,,,,24,Kabupaten Kendal,"35.286,12",#DIV/0!,"3,20",
,,,,,,25,Kabupaten Batang,"17.629,39",#DIV/0!,"1,60",
,,,,,,26,Kabupaten Pekalongan,"18.358,47",#DIV/0!,"1,67",
,,,,,,27,Kabupaten Pemalang,"20.715,43",#DIV/0!,"1,88",
,,,,,,28,Kabupaten Tegal,"28.015,70",#DIV/0!,"2,54",
,,,,,,29,Kabupaten Brebes,"36.699,04",#DIV/0!,"3,33",
,,,,,,30,Kota Magelang,"7.264,83",#DIV/0!,"0,66",
,,,,,,31,Kota Surakarta,"40.609,70",#DIV/0!,"3,68",
,,,,,,32,Kota Salatiga,"10.918,72",#DIV/0!,"0,99",
,,,,,,33,Kota Semarang,"161.815,79",#DIV/0!,"14,68",
,,,,,,34,Kota Pekalongan,"8.476,55",#DIV/0!,"0,77",
,,,,,,35,Kota Tegal,"12.468,61",#DIV/0!,"1,13",
,,,,,,Provinsi Jawa Tengah,,"1.102.437,49",#DIV/0!,"100,00","1.102.437,49"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,II,Sektor PDRB Lapangan Usaha Tahun Dasar 2010,[Seri 2010] Distribusi PDRB Atas Dasar Harga Berlaku Menurut Lapangan Usaha (Persen)_2023 (Sektor Utama Terbesar),,,,
,,,,,,"A. Pertanian, Kehutanan, dan Perikanan","0,78",,,,
,,,,,,B. Pertambangan dan Penggalian,"0,16",,,,
,,,,,,C. Industri Pengolahan,"28,07",,,,
,,,,,,D. Pengadaan Listrik dan Gas,"0,09",,,,
,,,,,,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","0,07",,,,
,,,,,,F. Konstruksi,"26,43",,,,
,,,,,,G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,"13,09",,,,
,,,,,,H. Transportasi dan Pergudangan,"4,62",,,,
,,,,,,I. Penyediaan Akomodasi dan Makan Minum,"3,2",,,,
,,,,,,J. Informasi dan Komunikasi,"8,55",,,,
,,,,,,K. Jasa Keuangan dan Asuransi,"3,97",,,,
,,,,,,L. Real Estate,"2,64",,,,
,,,,,,"M, N. Jasa Perusahaan","0,69",,,,
,,,,,,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","2,59",,,,
,,,,,,P. Jasa Pendidikan,"2,47",,,,
,,,,,,Q. Jasa Kesehatan dan Kegiatan Sosial,"0,83",,,,
,,,,,,"R,S,T,U. Jasa Lainnya","1,03",,,,
,,,,,,PDRB,100,,,,
