,,,,,,PDRB Atas Dasar Harga Konstan (Milyar Rupiah) dan Pertumbuhan Ekonomi (Persen) Kabupaten/Kota di Jawa Tengah 6 maret 2026,,,,,,
,,,,,,No,Kabupaten/Kota,PDRB ADHK,Pertumbuhan Ekonomi,Kontribusi PDRB ,,
,,,,,,1,Kabupaten Cilacap,"108031,28","3,31","8,86",,
,,,,,,2,Kabupaten Banyumas,"50668,64","5,97","4,16",,
,,,,,,3,Kabupaten Purbalingga,"21626,94","5,92","1,77",,
,,,,,,4,Kabupaten Banjarnegara,"19008,78","5,26","1,56",,
,,,,,,5,Kabupaten Kebumen,"25253,4","5,89","2,07",,
,,,,,,6,Kabupaten Purworejo,"16583,69","5,27","1,36",,
,,,,,,7,Kabupaten Wonosobo,"16924,73","5,02","1,39",,
,,,,,,8,Kabupaten Magelang,"29160,54","5,89","2,39",,
,,,,,,9,Kabupaten Boyolali,"28890,03","4,82","2,37",,
,,,,,,10,Kabupaten Klaten,"35131,44","4,62","2,88",,
,,,,,,11,Kabupaten Sukoharjo,"33951,06","5,48","2,78",,
,,,,,,12,Kabupaten Wonogiri,"26141,91","5,67","2,14",,
,,,,,,13,Kabupaten Karanganyar,"33709,11","5,75","2,76",,
,,,,,,14,Kabupaten Sragen,"33921,43","5,70","2,78",,
,,,,,,15,Kabupaten Grobogan,"24896,25","5,49","2,04",,
,,,,,,16,Kabupaten Blora,"20834,42","5,34","1,71",,
,,,,,,17,Kabupaten Rembang,"17185,84","5,77","1,41",,
,,,,,,18,Kabupaten Pati,"39038,28","6,12","3,20",,
,,,,,,19,Kabupaten Kudus,"75783,15","0,98","6,22",,
,,,,,,20,Kabupaten Jepara,"26869,08","5,41","2,20",,
,,,,,,21,Kabupaten Demak,"23439,71","6,99","1,92",,
,,,,,,22,Kabupaten Semarang,"43880,58","5,61","3,60",,
,,,,,,23,Kabupaten Temanggung,"18863,34","5,66","1,55",,
,,,,,,24,Kabupaten Kendal,"40192,08","7,99","3,30",,
,,,,,,25,Kabupaten Batang,"20159,94","7,79","1,65",,
,,,,,,26,Kabupaten Pekalongan,"20425,92","5,88","1,68",,
,,,,,,27,Kabupaten Pemalang,"23052,08","5,80","1,89",,
,,,,,,28,Kabupaten Tegal,"31211,27","5,97","2,56",,
,,,,,,29,Kabupaten Brebes,"40655,22","5,42","3,33",,
,,,,,,30,Kota Magelang,"8125,78","5,92","0,67",,
,,,,,,31,Kota Surakarta,"45304,55","5,63","3,72",,
,,,,,,32,Kota Salatiga,"12198,74","5,98","1,00",,
,,,,,,33,Kota Semarang,"182122,11","6,49","14,94",,
,,,,,,34,Kota Pekalongan,"9455,38","5,88","0,78",,
,,,,,,35,Kota Tegal,"13897,41","5,88","1,14",,
,,,,,,Provinsi Jawa Tengah,,"1.219.148,60","5,37","100,00",,"1.219.148,60"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Sektor PDRB Lapangan Usaha Tahun Dasar 2010,,,,,,
,,,,,II,,,[Seri 2010] Distribusi PDRB Atas Dasar Harga Berlaku Menurut Lapangan Usaha (Persen)_2025 (Sektor Utama Terbesar),,,,
,,,,,,,,2025,,,,
,,,,,,"A. Pertanian, Kehutanan, dan Perikanan",,"0,75",,,,
,,,,,,B. Pertambangan dan Penggalian,,"0,14",,,,
,,,,,,C. Industri Pengolahan,,"28,07",,,,
,,,,,,D. Pengadaan Listrik dan Gas,,"0,09",,,,
,,,,,,"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,"0,07",,,,
,,,,,,F. Konstruksi                     ,,"27,13",,,,
,,,,,,G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,,"12,88",,,,
,,,,,,H. Transportasi dan Pergudangan,,"4,6",,,,
,,,,,,I. Penyediaan Akomodasi dan Makan Minum,,"3,26",,,,
,,,,,,J. Informasi dan Komunikasi,,"8,91",,,,
,,,,,,K. Jasa Keuangan dan Asuransi,,"3,74",,,,
,,,,,,L. Real Estate                 ,,"2,58",,,,
,,,,,,"M, N. Jasa Perusahaan",,"0,74",,,,
,,,,,,"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,"2,53",,,,
,,,,,,P. Jasa Pendidikan                       ,,"2,62",,,,
,,,,,,Q. Jasa Kesehatan dan Kegiatan Sosial,,"0,82",,,,
,,,,,,"R,S,T,U. Jasa Lainnya              ",,"1,06",,,,
,,,,,,PDRB                                     ,,100,,,,
,,,,,,,,,,,,
,,,,,III,PDRB Perkapita,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"PDRB per Kapita Atas Dasar Harga Berlaku (ribu rupiah), 2020-2025",,,,,,
,,,,,,,,,,,,
,,,,,,PDRB Perkapita (Ribu Rupiah),Tahun,,,,,
,,,,,,,2020,2021,2022,2023,2024,2025
,,,,,,(1),(2),(3),(4),(5),(6),(7)
,,,,,,BPS Kota Semarang,114.189,123.037,135.328,146.839,156.607,167.236
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,III,TPT (Tingkat Pengangguran Terbuka),,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota di Jawa Tengah (Persen), 2020-2025",,,,,,
,,,,,,,,,,,,
,,,,,,TPT (Persen),Tahun,,,,,
,,,,,,,2020,2021,2022,2023,2024,2025
,,,,,,(1),(2),(3),(4),(5),(6),(7)
,,,,,,BPS Kota Semarang,"9,57","9,54","7,6","5,99","5,82","5,65"
