Series IHK dan Inflasi Kota Semarang dalam 3 (tiga) Tahun Terakhir,,,,
Bulan,IHK,Inflasi M to M,Inflasi Y to D,Inflasi Y to Y
Januari,"104,22","-0,11","-0,11","2,13"
Februari,"104,79","0,55","0,44","2,45"
Maret,"105,44","0,62","1,06","2,89"
April,"105,78","0,32","1,39","3,01"
Mei ,"105,56","-0,21","1,18","2,56"
Juni,"105,29","-0,26","0,92","2,22"
Juli,"105,15","-0,13","0,79","1,87"
Agustus,"105,11","-0,04","0,75","1,85"
September,"105,12","0,01","0,76","1,53"
Oktober,"105,33","0,2","0,96","1,6"
November,"105,56","0,22","1,18","1,41"
Desember,"106,09","0,5","1,69","1,69"
